Date,AAPL,MSFT,GOOGL,NVDA,TSLA
2024-01-11,184.0319061279297,379.68878173828125,141.1067657470703,54.794525146484375,227.22000122070312
2024-01-12,184.359130859375,383.47943115234375,141.67286682128906,54.682579040527344,218.88999938964844
2024-01-16,182.08837890625,385.2563171386719,141.51397705078125,56.35374450683594,219.91000366210938
2024-01-17,181.14634704589844,384.46661376953125,140.50096130371094,56.0249137878418,215.5500030517578
2024-01-18,187.04640197753906,388.81005859375,142.49716186523438,57.0783805847168,211.8800048828125
2024-01-19,189.95181274414062,393.54840087890625,145.3773193359375,59.461181640625,212.19000244140625
2024-01-22,192.26222229003906,391.41619873046875,144.989990234375,59.62410354614258,208.8000030517578
2024-01-23,193.54139709472656,393.7754211425781,146.0327911376953,59.842994689941406,209.13999938964844
2024-01-24,192.8671112060547,397.3884582519531,147.68141174316406,61.33124542236328,207.8300018310547
2024-01-25,192.53988647460938,399.66876220703125,150.82968139648438,61.58612060546875,182.6300048828125
2024-01-26,190.80455017089844,398.7408447265625,151.14752197265625,61.00041198730469,183.25
2024-01-29,190.12039184570312,404.45648193359375,152.45846557617188,62.43369674682617,190.92999267578125
2024-01-30,186.46133422851562,403.3409729003906,150.42251586914062,62.74253845214844,191.58999633789062
2024-01-31,182.85189819335938,392.4723815917969,139.1403350830078,61.49616241455078,187.2899932861328
2024-02-01,185.291259765625,398.5927734375,140.19308471679688,62.99541473388672,188.86000061035156
2024-02-02,184.28973388671875,405.93719482421875,141.40472412109375,66.12684631347656,187.91000366210938
2024-02-05,186.1043701171875,400.438720703125,142.69581604003906,69.2972640991211,181.05999755859375
2024-02-06,187.7107696533203,400.2807312011719,143.11293029785156,68.18881225585938,185.10000610351562
2024-02-07,187.81985473632812,408.7308044433594,144.54307556152344,70.06385803222656,187.5800018310547
2024-02-08,186.73902893066406,408.7900085449219,144.91055297851562,69.60609436035156,189.55999755859375
2024-02-09,187.50352478027344,415.1473388671875,147.9793701171875,72.09686279296875,193.57000732421875
2024-02-12,185.81561279296875,409.92529296875,146.5194549560547,72.21178436279297,188.1300048828125
2024-02-13,183.72067260742188,401.10009765625,144.1458282470703,72.09186553955078,184.02000427246094
2024-02-14,182.83702087402344,404.9769592285156,144.94033813476562,73.86296844482422,188.7100067138672
2024-02-15,182.54910278320312,402.0792236328125,141.79202270507812,72.62158203125,200.4499969482422
2024-02-16,181.0101318359375,399.60675048828125,139.55746459960938,72.57660675048828,199.9499969482422
2024-02-20,180.26547241210938,398.35076904296875,140.15335083007812,69.41719818115234,193.75999450683594
2024-02-21,181.0200653076172,397.74749755859375,141.5735626220703,67.43819427490234,194.77000427246094
2024-02-22,183.05545043945312,407.11309814453125,143.10299682617188,78.49864959716797,197.41000366210938
2024-02-23,181.21864318847656,405.8175354003906,142.97390747070312,78.77750396728516,191.97000122070312
2024-02-26,179.8683319091797,403.0484619140625,136.62767028808594,79.05237579345703,199.39999389648438
2024-02-27,181.32785034179688,402.98907470703125,137.9287109375,78.66156005859375,199.72999572753906
2024-02-28,180.12649536132812,403.2264404296875,135.44580078125,77.62408447265625,202.0399932861328
2024-02-29,179.4612579345703,409.0812072753906,137.51158142089844,79.07235717773438,201.8800048828125
2024-03-01,178.37904357910156,410.9206848144531,136.2006072998047,82.23776245117188,202.63999938964844
2024-03-04,173.85154724121094,410.34710693359375,132.43658447265625,85.19428253173828,188.13999938964844
2024-03-05,168.90704345703125,398.21234130859375,131.76124572753906,85.9249496459961,180.74000549316406
2024-03-06,167.91416931152344,397.6584777832031,130.4999237060547,88.65970611572266,176.5399932861328
2024-03-07,167.79502868652344,404.6308288574219,133.4595184326172,92.62689208984375,178.64999389648438
2024-03-08,169.5126953125,401.74298095703125,134.4824676513672,87.48823547363281,175.33999633789062
2024-03-11,171.518310546875,400.0616455078125,136.7269744873047,85.73503112792969,177.77000427246094
2024-03-12,171.994873046875,410.703125,137.55130004882812,91.87124633789062,177.5399932861328
2024-03-13,169.9098663330078,410.5251159667969,138.8324737548828,90.84671783447266,169.47999572753906
2024-03-14,171.76649475097656,420.5335693359375,142.1197967529297,87.90404510498047,162.5
2024-03-15,171.38922119140625,411.8305358886719,140.2129364013672,87.7970962524414,163.57000732421875
2024-03-18,172.4813995361328,412.72064208984375,146.66839599609375,88.41482543945312,173.8000030517578
2024-03-19,174.82456970214844,416.7655944824219,146.02285766601562,89.3573989868164,171.32000732421875
2024-03-20,177.39608764648438,420.5434265136719,147.72116088867188,90.33094024658203,175.66000366210938
2024-03-21,170.1481475830078,424.6378173828125,146.5889434814453,91.39346313476562,172.82000732421875
2024-03-22,171.05166625976562,424.0147705078125,149.7372589111328,94.24617004394531,170.8300018310547
2024-03-25,169.63185119628906,418.1995849609375,149.0420379638672,94.95883178710938,172.6300048828125
2024-03-26,168.5,417.0029296875,149.63792419433594,92.51895904541016,177.6699981689453
2024-03-27,172.07432556152344,416.7853088378906,149.83656311035156,90.20899963378906,179.8300018310547
2024-03-28,170.25733947753906,416.0831604003906,149.89614868164062,90.31494903564453,175.7899932861328
2024-04-01,168.8177032470703,419.8907470703125,154.4249267578125,90.32194519042969,175.22000122070312
